,Year,Team,Followers,Franch_Val
205,2018,New Orleans Pelicans,2.44,"1,000"
206,2019,New Orleans Pelicans,2.73,"1,220"
207,2020,New Orleans Pelicans,2.84,"1,350"
208,2021,New Orleans Pelicans,2.86,"1,525"
209,2011,New York Knicks,2.69,655
210,2012,New York Knicks,3.26,780
211,2013,New York Knicks,4.55,"1,100"
212,2014,New York Knicks,6.38,"1,400"
213,2015,New York Knicks,6.91,"2,500"
214,2016,New York Knicks,7.61,"3,000"
215,2017,New York Knicks,8,"3,300"
216,2018,New York Knicks,8.19,"3,600"
217,2019,New York Knicks,7.93,"4,000"
218,2020,New York Knicks,7.81,"4,600"
219,2021,New York Knicks,7.9,"5,800"
220,2011,Oklahoma City Thunder,1.24,329
221,2012,Oklahoma City Thunder,1.83,348
222,2013,Oklahoma City Thunder,2.7,475
223,2014,Oklahoma City Thunder,5.9,590
224,2015,Oklahoma City Thunder,6.7,930
225,2016,Oklahoma City Thunder,8.08,950
226,2017,Oklahoma City Thunder,9.77,"1,025"
227,2018,Oklahoma City Thunder,9.79,"1,250"
228,2019,Oklahoma City Thunder,9.87,"1,475"
229,2020,Oklahoma City Thunder,9.59,"1,575"
230,2021,Oklahoma City Thunder,9.38,"1,630"
231,2011,Orlando Magic,2.33,385
232,2012,Orlando Magic,2.64,385
233,2013,Orlando Magic,2.97,470
234,2014,Orlando Magic,3.66,560
235,2015,Orlando Magic,3.92,875
236,2016,Orlando Magic,4.15,900
237,2017,Orlando Magic,4.31,920
238,2018,Orlando Magic,4.35,"1,225"
239,2019,Orlando Magic,4.25,"1,325"
240,2020,Orlando Magic,4.1,"1,430"
241,2021,Orlando Magic,4.15,"1,640"
242,2011,Philadelphia 76ers,0.36,330
243,2012,Philadelphia 76ers,0.42,314
244,2013,Philadelphia 76ers,0.59,418
245,2014,Philadelphia 76ers,1.36,469
246,2015,Philadelphia 76ers,1.81,700
247,2016,Philadelphia 76ers,2.23,700
248,2017,Philadelphia 76ers,2.67,800
249,2018,Philadelphia 76ers,2.99,"1,180"
250,2019,Philadelphia 76ers,3.55,"1,650"
251,2020,Philadelphia 76ers,3.64,"2,000"
252,2021,Philadelphia 76ers,3.74,"2,450"
253,2011,Phoenix Suns,0.6,411
254,2012,Phoenix Suns,0.87,395
255,2013,Phoenix Suns,1.01,474
256,2014,Phoenix Suns,1.86,565
257,2015,Phoenix Suns,2.23,910
258,2016,Phoenix Suns,2.46,"1,000"
259,2017,Phoenix Suns,2.79,"1,100"
260,2018,Phoenix Suns,2.88,"1,280"
261,2019,Phoenix Suns,2.98,"1,500"
262,2020,Phoenix Suns,2.96,"1,625"
263,2021,Phoenix Suns,3.22,"1,800"
264,2011,Portland Trail Blazers,0.44,356
265,2012,Portland Trail Blazers,0.5,370
266,2013,Portland Trail Blazers,0.66,457
267,2014,Portland Trail Blazers,2,587
268,2015,Portland Trail Blazers,2.58,940
269,2016,Portland Trail Blazers,3.02,975
270,2017,Portland Trail Blazers,3.38,"1,050"
271,2018,Portland Trail Blazers,3.53,"1,300"
272,2019,Portland Trail Blazers,3.66,"1,600"
273,2020,Portland Trail Blazers,3.74,"1,850"
274,2021,Portland Trail Blazers,3.81,"2,050"
275,2011,Sacramento Kings,0.21,293
276,2012,Sacramento Kings,0.3,300
277,2013,Sacramento Kings,0.44,525
278,2014,Sacramento Kings,1.21,550
279,2015,Sacramento Kings,1.73,800
280,2016,Sacramento Kings,2.26,925
281,2017,Sacramento Kings,2.59,"1,075"
282,2018,Sacramento Kings,2.72,"1,375"
283,2019,Sacramento Kings,8.61,"1,575"
284,2020,Sacramento Kings,8.8,"1,775"
285,2021,Sacramento Kings,8.69,"2,000"
286,2011,San Antonio Spurs,1.01,404
287,2012,San Antonio Spurs,1.54,418
288,2013,San Antonio Spurs,2.27,527
289,2014,San Antonio Spurs,5.81,660
290,2015,San Antonio Spurs,7.03,"1,000"
291,2016,San Antonio Spurs,8.52,"1,150"
292,2017,San Antonio Spurs,10.02,"1,175"
293,2018,San Antonio Spurs,10.52,"1,550"
294,2019,San Antonio Spurs,10.55,"1,625"
295,2020,San Antonio Spurs,10.32,"1,800"
296,2021,San Antonio Spurs,10.18,"1,980"
297,2011,Toronto Raptors,0.22,399
298,2012,Toronto Raptors,0.46,382
299,2013,Toronto Raptors,0.67,405
300,2014,Toronto Raptors,1.74,520
301,2015,Toronto Raptors,2.57,920
302,2016,Toronto Raptors,3.38,980
303,2017,Toronto Raptors,3.67,"1,125"
304,2018,Toronto Raptors,3.99,"1,400"
305,2019,Toronto Raptors,4.78,"1,675"
306,2020,Toronto Raptors,4.86,"2,100"
307,2021,Toronto Raptors,5.02,"2,475"
308,2011,Utah Jazz,0.32,343
309,2012,Utah Jazz,0.45,335
310,2013,Utah Jazz,0.61,432
311,2014,Utah Jazz,1.1,525
312,2015,Utah Jazz,1.4,850
313,2016,Utah Jazz,1.66,875
314,2017,Utah Jazz,1.87,910
315,2018,Utah Jazz,1.96,"1,200"
316,2019,Utah Jazz,2.75,"1,425"
317,2020,Utah Jazz,2.81,"1,550"
318,2021,Utah Jazz,3.22,"1,750"
319,2011,Washington Wizards,0.13,322
320,2012,Washington Wizards,0.25,328
321,2013,Washington Wizards,0.38,397
322,2014,Washington Wizards,1.01,485
323,2015,Washington Wizards,1.61,900
324,2016,Washington Wizards,2.05,960
325,2017,Washington Wizards,2.29,"1,000"
326,2018,Washington Wizards,2.38,"1,350"
327,2019,Washington Wizards,2.55,"1,550"
328,2020,Washington Wizards,5.74,"1,750"
329,2021,Washington Wizards,6.31,"1,925"
